clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V1__take04.wav,planned,1
r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-mf__p-delayed__v-V3__take03.wav,planned,2
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take04.wav,planned,3
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V3,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take02.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V3__take02.wav,planned,4
r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V1,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V1__take04.wav,planned,5
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take02,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V3,P1,2,2,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take02.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V3__take02.wav,planned,6
r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take01,real,real_violin,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,V1,P1,1,1,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-pizzicato__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take01.wav,data/real_raw/r__delayed_A4__t-pizzicato__d-f__p-delayed__v-V1__take01.wav,planned,7
r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take03,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,V3,P1,3,3,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-p__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take03.wav,data/real_raw/r__delayed_A4__t-sustain__d-p__p-delayed__v-V3__take03.wav,planned,8
r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,V2,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-mf__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-mf__p-delayed__v-V2__take04.wav,planned,9
r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take04,real,real_violin,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,V2,P1,4,4,69,True,0.75,data/midi/expanded/reference/ref__delayed_A4__t-sustain__d-f__p-delayed.mid,data/real_48k/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take04.wav,data/real_raw/r__delayed_A4__t-sustain__d-f__p-delayed__v-V2__take04.wav,planned,10
