clip_id,source,model,profile,prompt_id,pattern,register,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__repeat_high__t-legato_slur__d-mf__p-constant__v-V1__take02,real,real_violin,constant,repeat_high,repeat,high,legato_slur,49,mf,64,64,,V1,P1,2,2,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__repeat_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__repeat_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,planned,1
r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take01,real,real_violin,constant,leap_low,leap,low,legato_slur,49,p,32,32,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__leap_low__t-legato_slur__d-p__p-constant__v-V1__take01.wav,planned,2
r__leap_low__t-pizzicato__d-p__p-constant__v-V1__take01,real,real_violin,constant,leap_low,leap,low,pizzicato,43,p,32,32,,V1,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__leap_low__t-pizzicato__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__leap_low__t-pizzicato__d-p__p-constant__v-V1__take01.wav,planned,3
r__repeat_slow_high__t-staccato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,repeat_slow_high,repeat_slow,high,staccato,40,mf,64,64,,V1,P1,2,2,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_slow_high__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_slow_high__t-staccato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__repeat_slow_high__t-staccato__d-mf__p-constant__v-V1__take02.wav,planned,4
r__long_low__t-legato_slur__d-p__p-constant__v-V2__take02,real,real_violin,constant,long_low,long,low,legato_slur,49,p,32,32,,V2,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__long_low__t-legato_slur__d-p__p-constant__v-V2__take02.wav,data/real_raw/r__long_low__t-legato_slur__d-p__p-constant__v-V2__take02.wav,planned,5
r__descend_high__t-sustain__d-f__p-constant__v-V1__take02,real,real_violin,constant,descend_high,descend,high,sustain,36,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__descend_high__t-sustain__d-f__p-constant.mid,data/real_48k/r__descend_high__t-sustain__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__descend_high__t-sustain__d-f__p-constant__v-V1__take02.wav,planned,6
r__leap_high__t-staccato__d-p__p-constant__v-V3__take02,real,real_violin,constant,leap_high,leap,high,staccato,40,p,32,32,,V3,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-staccato__d-p__p-constant.mid,data/real_48k/r__leap_high__t-staccato__d-p__p-constant__v-V3__take02.wav,data/real_raw/r__leap_high__t-staccato__d-p__p-constant__v-V3__take02.wav,planned,7
r__scale_high__t-pizzicato__d-f__p-constant__v-V2__take01,real,real_violin,constant,scale_high,scale,high,pizzicato,43,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__scale_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__scale_high__t-pizzicato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__scale_high__t-pizzicato__d-f__p-constant__v-V2__take01.wav,planned,8
r__leap_high__t-legato_slur__d-mf__p-constant__v-V1__take02,real,real_violin,constant,leap_high,leap,high,legato_slur,49,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__leap_high__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__leap_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__leap_high__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,planned,9
r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take01,real,real_violin,constant,repeat_high,repeat,high,sustain,36,mf,64,64,,V2,P1,1,1,86.0,True,0.75,data/midi/expanded/reference/ref__repeat_high__t-sustain__d-mf__p-constant.mid,data/real_48k/r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_high__t-sustain__d-mf__p-constant__v-V2__take01.wav,planned,10
r__scale_low__t-pizzicato__d-p__p-constant__v-V2__take02,real,real_violin,constant,scale_low,scale,low,pizzicato,43,p,32,32,,V2,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__scale_low__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__scale_low__t-pizzicato__d-p__p-constant__v-V2__take02.wav,data/real_raw/r__scale_low__t-pizzicato__d-p__p-constant__v-V2__take02.wav,planned,11
r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,arpeggio_low,arpeggio,low,pizzicato,43,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/expanded/reference/ref__arpeggio_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__arpeggio_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,12
r__long_low__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_low,long,low,pizzicato,43,mf,64,64,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_low__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,13
r__long_high__t-pizzicato__d-mf__p-constant__v-V3__take02,real,real_violin,constant,long_high,long,high,pizzicato,43,mf,64,64,,V3,P1,2,2,81.0,True,0.75,data/midi/expanded/reference/ref__long_high__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_high__t-pizzicato__d-mf__p-constant__v-V3__take02.wav,data/real_raw/r__long_high__t-pizzicato__d-mf__p-constant__v-V3__take02.wav,planned,14
r__long_low__t-sustain__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_low,long,low,sustain,36,f,96,96,,V1,P1,2,2,57.0,True,0.75,data/midi/expanded/reference/ref__long_low__t-sustain__d-f__p-constant.mid,data/real_48k/r__long_low__t-sustain__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_low__t-sustain__d-f__p-constant__v-V1__take02.wav,planned,15
r__repeat_low__t-pizzicato__d-p__p-constant__v-V2__take01,real,real_violin,constant,repeat_low,repeat,low,pizzicato,43,p,32,32,,V2,P1,1,1,62.0,True,0.75,data/midi/expanded/reference/ref__repeat_low__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__repeat_low__t-pizzicato__d-p__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_low__t-pizzicato__d-p__p-constant__v-V2__take01.wav,planned,16
r__leap_low__t-staccato__d-f__p-constant__v-V2__take01,real,real_violin,constant,leap_low,leap,low,staccato,40,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/expanded/reference/ref__leap_low__t-staccato__d-f__p-constant.mid,data/real_48k/r__leap_low__t-staccato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__leap_low__t-staccato__d-f__p-constant__v-V2__take01.wav,planned,17
