clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__scale_mid__t-legato_slur__d-mf__p-constant__v-V1__take01,real,real_violin,constant,scale_mid,scale,mid,legato_slur,real_counterfactual_primary,49,mf,64,64,,V1,P1,1,1,,False,0.75,data/midi/full/reference/ref__scale_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__scale_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,planned,1
r__leap_high__t-legato_slur__d-mf__p-constant__v-V2__take01,real,real_violin,constant,leap_high,leap,high,legato_slur,real_counterfactual_primary,49,mf,64,64,,V2,P1,1,1,,False,0.75,data/midi/full/reference/ref__leap_high__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__leap_high__t-legato_slur__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__leap_high__t-legato_slur__d-mf__p-constant__v-V2__take01.wav,planned,2
r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_high,scale,high,pizzicato,real_counterfactual_primary,43,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/full/reference/ref__scale_high__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_high__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,3
r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take01,real,real_violin,constant,leap_high,leap,high,pizzicato,real_counterfactual_primary,43,f,96,96,,V2,P1,1,1,,False,0.75,data/midi/full/reference/ref__leap_high__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__leap_high__t-pizzicato__d-f__p-constant__v-V2__take01.wav,planned,4
r__long_mid__t-legato_slur__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,legato_slur,real_counterfactual_primary,49,f,96,96,,V1,P1,2,2,69.0,True,0.75,data/midi/full/reference/ref__long_mid__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__long_mid__t-legato_slur__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-legato_slur__d-f__p-constant__v-V1__take02.wav,planned,5
r__leap_low__t-sustain__d-p__p-constant__v-V2__take02,real,real_violin,constant,leap_low,leap,low,sustain,real_counterfactual_primary,36,p,32,32,,V2,P1,2,2,,False,0.75,data/midi/full/reference/ref__leap_low__t-sustain__d-p__p-constant.mid,data/real_48k/r__leap_low__t-sustain__d-p__p-constant__v-V2__take02.wav,data/real_raw/r__leap_low__t-sustain__d-p__p-constant__v-V2__take02.wav,planned,6
r__repeat_mid__t-staccato__d-f__p-constant__v-V2__take01,real,real_violin,constant,repeat_mid,repeat,mid,staccato,real_counterfactual_primary,40,f,96,96,,V2,P1,1,1,74.0,True,0.75,data/midi/full/reference/ref__repeat_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__repeat_mid__t-staccato__d-f__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_mid__t-staccato__d-f__p-constant__v-V2__take01.wav,planned,7
r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take01,real,real_violin,constant,repeat_low,repeat,low,staccato,real_counterfactual_primary,40,mf,64,64,,V2,P1,1,1,62.0,True,0.75,data/midi/full/reference/ref__repeat_low__t-staccato__d-mf__p-constant.mid,data/real_48k/r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take01.wav,data/real_raw/r__repeat_low__t-staccato__d-mf__p-constant__v-V2__take01.wav,planned,8
r__repeat_mid__t-pizzicato__d-f__p-constant__v-V3__take01,real,real_violin,constant,repeat_mid,repeat,mid,pizzicato,real_counterfactual_primary,43,f,96,96,,V3,P1,1,1,74.0,True,0.75,data/midi/full/reference/ref__repeat_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__repeat_mid__t-pizzicato__d-f__p-constant__v-V3__take01.wav,data/real_raw/r__repeat_mid__t-pizzicato__d-f__p-constant__v-V3__take01.wav,planned,9
r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02,real,real_violin,constant,scale_low,scale,low,legato_slur,real_counterfactual_primary,49,f,96,96,,V3,P1,2,2,,False,0.75,data/midi/full/reference/ref__scale_low__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,data/real_raw/r__scale_low__t-legato_slur__d-f__p-constant__v-V3__take02.wav,planned,10
