clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
delayed_A4-rep01__t-sustain__d-p__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-sustain__d-p__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-sustain__d-p__p-delayed.wav,planned
delayed_A4-rep02__t-sustain__d-p__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,p,64,32,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-sustain__d-p__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-sustain__d-p__p-delayed.wav,planned
delayed_A4-rep01__t-sustain__d-mf__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-sustain__d-mf__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-sustain__d-mf__p-delayed.wav,planned
delayed_A4-rep02__t-sustain__d-mf__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,mf,64,64,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-sustain__d-mf__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-sustain__d-mf__p-delayed.wav,planned
delayed_A4-rep01__t-sustain__d-f__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-sustain__d-f__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-sustain__d-f__p-delayed.wav,planned
delayed_A4-rep02__t-sustain__d-f__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,sustain,real_counterfactual_primary,36,f,64,96,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-sustain__d-f__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-sustain__d-f__p-delayed.wav,planned
delayed_A4-rep01__t-pizzicato__d-p__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-pizzicato__d-p__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-pizzicato__d-p__p-delayed.wav,planned
delayed_A4-rep02__t-pizzicato__d-p__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,p,64,32,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-pizzicato__d-p__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-pizzicato__d-p__p-delayed.wav,planned
delayed_A4-rep01__t-pizzicato__d-mf__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-pizzicato__d-mf__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-pizzicato__d-mf__p-delayed.wav,planned
delayed_A4-rep02__t-pizzicato__d-mf__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-pizzicato__d-mf__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-pizzicato__d-mf__p-delayed.wav,planned
delayed_A4-rep01__t-pizzicato__d-f__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,4733810206955405609,20260826,delayed_A4-rep01,1,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep01__t-pizzicato__d-f__p-delayed.mid,data/model_audio/delayed_A4-rep01__t-pizzicato__d-f__p-delayed.wav,planned
delayed_A4-rep02__t-pizzicato__d-f__p-delayed,model,VIOLET,delayed,delayed_A4,delayed_long,mid,pizzicato,real_counterfactual_primary,43,f,64,96,0.25,8660567515732831821,20260826,delayed_A4-rep02,2,1.0,1.0,30,69,True,0.75,data/midi/pilot/model/delayed_A4-rep02__t-pizzicato__d-f__p-delayed.mid,data/model_audio/delayed_A4-rep02__t-pizzicato__d-f__p-delayed.wav,planned
