clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,violin_id,performer_id,take,replicate,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,raw_audio_path,status,recording_order
r__scale_mid__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,1
r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,real_counterfactual_primary,40,f,96,96,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take02.wav,planned,2
r__long_mid__t-sustain__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,sustain,real_counterfactual_primary,36,mf,64,64,,V1,P1,2,2,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-sustain__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,planned,3
r__scale_mid__t-sustain__d-p__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,sustain,real_counterfactual_primary,36,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-sustain__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-sustain__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-sustain__d-p__p-constant__v-V1__take02.wav,planned,4
r__scale_mid__t-sustain__d-f__p-constant__v-V1__take01,real,real_violin,constant,scale_mid,scale,mid,sustain,real_counterfactual_primary,36,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-sustain__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-sustain__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__scale_mid__t-sustain__d-f__p-constant__v-V1__take01.wav,planned,5
r__scale_mid__t-legato_slur__d-f__p-constant__v-V1__take01,real,real_violin,constant,scale_mid,scale,mid,legato_slur,real_counterfactual_primary,49,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-legato_slur__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__scale_mid__t-legato_slur__d-f__p-constant__v-V1__take01.wav,planned,6
r__long_mid__t-pizzicato__d-f__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,pizzicato,real_counterfactual_primary,43,f,96,96,,V1,P1,2,2,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__long_mid__t-pizzicato__d-f__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-pizzicato__d-f__p-constant__v-V1__take02.wav,planned,7
r__scale_mid__t-pizzicato__d-p__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,pizzicato,real_counterfactual_primary,43,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-pizzicato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-pizzicato__d-p__p-constant__v-V1__take02.wav,planned,8
r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take01,real,real_violin,constant,long_mid,long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,,V1,P1,1,1,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take01.wav,planned,9
r__scale_mid__t-sustain__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,sustain,real_counterfactual_primary,36,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-sustain__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-sustain__d-mf__p-constant__v-V1__take02.wav,planned,10
r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,real_counterfactual_primary,40,p,32,32,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-staccato__d-p__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-p__p-constant__v-V1__take02.wav,planned,11
r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,scale_mid,scale,mid,staccato,real_counterfactual_primary,40,mf,64,64,,V1,P1,2,2,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-staccato__d-mf__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__scale_mid__t-staccato__d-mf__p-constant__v-V1__take02.wav,planned,12
r__scale_mid__t-pizzicato__d-f__p-constant__v-V1__take01,real,real_violin,constant,scale_mid,scale,mid,pizzicato,real_counterfactual_primary,43,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-pizzicato__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__scale_mid__t-pizzicato__d-f__p-constant__v-V1__take01.wav,planned,13
r__long_mid__t-sustain__d-p__p-constant__v-V1__take01,real,real_violin,constant,long_mid,long,mid,sustain,real_counterfactual_primary,36,p,32,32,,V1,P1,1,1,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-sustain__d-p__p-constant.mid,data/real_48k/r__long_mid__t-sustain__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__long_mid__t-sustain__d-p__p-constant__v-V1__take01.wav,planned,14
r__long_mid__t-legato_slur__d-p__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,legato_slur,real_counterfactual_primary,49,p,32,32,,V1,P1,2,2,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-legato_slur__d-p__p-constant.mid,data/real_48k/r__long_mid__t-legato_slur__d-p__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-legato_slur__d-p__p-constant__v-V1__take02.wav,planned,15
r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,legato_slur,real_counterfactual_primary,49,mf,64,64,,V1,P1,2,2,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take02.wav,planned,16
r__long_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,long_mid,long,mid,staccato,real_counterfactual_primary,40,f,96,96,,V1,P1,1,1,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__long_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__long_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,17
r__scale_mid__t-staccato__d-f__p-constant__v-V1__take01,real,real_violin,constant,scale_mid,scale,mid,staccato,real_counterfactual_primary,40,f,96,96,,V1,P1,1,1,,False,0.75,data/midi/pilot/reference/ref__scale_mid__t-staccato__d-f__p-constant.mid,data/real_48k/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,data/real_raw/r__scale_mid__t-staccato__d-f__p-constant__v-V1__take01.wav,planned,18
r__long_mid__t-pizzicato__d-p__p-constant__v-V1__take01,real,real_violin,constant,long_mid,long,mid,pizzicato,real_counterfactual_primary,43,p,32,32,,V1,P1,1,1,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-pizzicato__d-p__p-constant.mid,data/real_48k/r__long_mid__t-pizzicato__d-p__p-constant__v-V1__take01.wav,data/real_raw/r__long_mid__t-pizzicato__d-p__p-constant__v-V1__take01.wav,planned,19
r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take01,real,real_violin,constant,long_mid,long,mid,legato_slur,real_counterfactual_primary,49,mf,64,64,,V1,P1,1,1,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-legato_slur__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,data/real_raw/r__long_mid__t-legato_slur__d-mf__p-constant__v-V1__take01.wav,planned,20
r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take02,real,real_violin,constant,long_mid,long,mid,pizzicato,real_counterfactual_primary,43,mf,64,64,,V1,P1,2,2,69.0,True,0.75,data/midi/pilot/reference/ref__long_mid__t-pizzicato__d-mf__p-constant.mid,data/real_48k/r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,data/real_raw/r__long_mid__t-pizzicato__d-mf__p-constant__v-V1__take02.wav,planned,21
