clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,trajectory_shape,dynamic_label,technique_keyswitch,cc1_mean,cc1_low,cc1_high,trajectory_steps,note_onset_s,note_seconds,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
temporal_A4-rep01__t-sustain__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,constant,constant,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,constant,constant,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-sustain__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,constant,constant,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-constant__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,constant,constant,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-constant__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-constant__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-sustain__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_up,ramp_up,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_up,ramp_up,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep03__t-sustain__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_up,ramp_up,36,64,32,96,48,0.75,6.0,3451152394622684878,20260826,temporal_A4-sustain-rep03,3,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep03__t-sustain__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep03__t-sustain__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep04__t-sustain__d-ramp_up__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_up,ramp_up,36,64,32,96,48,0.75,6.0,5547160598690432299,20260826,temporal_A4-sustain-rep04,4,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep04__t-sustain__d-ramp_up__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep04__t-sustain__d-ramp_up__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep01__t-sustain__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_down,ramp_down,36,64,32,96,48,0.75,6.0,1350817923100137775,20260826,temporal_A4-sustain-rep01,1,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep01__t-sustain__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep01__t-sustain__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
temporal_A4-rep02__t-sustain__d-ramp_down__p-temporal_control,model,VIOLET,temporal,temporal_control,temporal_A4,temporal_long,mid,sustain,ramp_down,ramp_down,36,64,32,96,48,0.75,6.0,4459940871918123187,20260826,temporal_A4-sustain-rep02,2,1.0,1.0,30,data/midi/temporal_control/temporal_A4-rep02__t-sustain__d-ramp_down__p-temporal_control.mid,data/model_audio/temporal_control/temporal_A4-rep02__t-sustain__d-ramp_down__p-temporal_control.wav,generator_only_exploratory
